text,label,category,template_group,source
Phone call transcript: This is Inspector Sharma from CBI Cyber Cell. Your Aadhaar is linked to money laundering case CR-4521. Stay on this video call and do not inform anyone.,1,digital_arrest,1:digital_arrest:0,curated_scam_pattern_template
Phone call transcript: Your bank account is blocked due to KYC failure. Share OTP and debit card details now to prevent permanent closure.,1,financial_fraud,1:financial_fraud:0,curated_scam_pattern_template
"Phone call transcript: Mom, I lost my phone and I am in police custody. Send Rs 50,000 to this number urgently and do not call anyone.",1,impersonation,1:impersonation:0,curated_scam_pattern_template
"Phone call transcript: Dear customer, RBI has ordered urgent KYC refresh. Provide Aadhaar OTP to keep your account active.",1,kyc_otp,1:kyc_otp:0,curated_scam_pattern_template
Phone call transcript: Customs seized a parcel in your name containing illegal substances. Pay clearance deposit or face arrest.,1,parcel_customs,1:parcel_customs:0,curated_scam_pattern_template
"Phone call transcript: Earn Rs 50,000 daily from home with guaranteed trading returns. Deposit Rs 5,000 to unlock tasks.",1,job_investment,1:job_investment:0,curated_scam_pattern_template
"Phone call transcript: An arrest warrant has been issued under PMLA Section 45. Transfer Rs 50,000 to the safe custody account within 30 minutes to avoid immediate arrest.",1,digital_arrest,1:digital_arrest:1,curated_scam_pattern_template
"Phone call transcript: Congratulations, you won Rs 50,000 in a government lottery. Pay processing fee today to claim the prize.",1,financial_fraud,1:financial_fraud:1,curated_scam_pattern_template
Phone call transcript: This is electricity board. Your bill is overdue and power will be disconnected in 30 minutes unless you pay this link.,1,impersonation,1:impersonation:1,curated_scam_pattern_template
Phone call transcript: Your SIM will be deactivated in 30 minutes. Share the OTP sent by TRAI to keep services running.,1,kyc_otp,1:kyc_otp:1,curated_scam_pattern_template
Phone call transcript: A narcotics case is registered against your shipment. Join video verification and keep the matter secret.,1,parcel_customs,1:parcel_customs:1,curated_scam_pattern_template
Phone call transcript: Your job application is selected. Pay refundable security fee before the interview slot expires.,1,job_investment,1:job_investment:1,curated_scam_pattern_template
Phone call transcript: Your PAN was used for illegal accounts. We are starting digital arrest verification. Disconnecting will be treated as obstruction of justice.,1,digital_arrest,1:digital_arrest:2,curated_scam_pattern_template
Phone call transcript: Your UPI account has suspicious debits. Send Rs 1 to this verification ID and share the confirmation code.,1,financial_fraud,1:financial_fraud:2,curated_scam_pattern_template
Phone call transcript: I am from tech support. Your computer is infected. Install remote access so I can secure your bank account.,1,impersonation,1:impersonation:2,curated_scam_pattern_template
Phone call transcript: Your wallet is under review. Upload PAN and send OTP to release your frozen balance.,1,kyc_otp,1:kyc_otp:2,curated_scam_pattern_template
"Phone call transcript: Your international courier has banned items. Transfer Rs 5,000 for legal clearance within 30 minutes.",1,parcel_customs,1:parcel_customs:2,curated_scam_pattern_template
Phone call transcript: Join our crypto group for risk-free returns. Transfer funds to the analyst account for premium access.,1,job_investment,1:job_investment:2,curated_scam_pattern_template
Phone call transcript: Cyber Cell has found your mobile number in a terror funding file. This call is confidential and your family must not be told.,1,digital_arrest,1:digital_arrest:3,curated_scam_pattern_template
"Phone call transcript: You are approved for a zero-interest loan. Pay Rs 5,000 upfront to activate disbursal immediately.",1,financial_fraud,1:financial_fraud:3,curated_scam_pattern_template
Phone call transcript: This is courier support. Your expensive order will be cancelled unless you verify bank details now.,1,impersonation,1:impersonation:3,curated_scam_pattern_template
Phone call transcript: Bank security detected a login. Share OTP so we can block the fraudulent transaction.,1,kyc_otp,1:kyc_otp:3,curated_scam_pattern_template
Phone call transcript: Airport customs found fake passports in your parcel. Cooperate with the officer or a warrant will be issued.,1,parcel_customs,1:parcel_customs:3,curated_scam_pattern_template
Phone call transcript: You have been chosen for a government work-from-home scheme. Pay registration fee to receive equipment.,1,job_investment,1:job_investment:3,curated_scam_pattern_template
Phone call transcript: CBI headquarters is recording this call. You must prove innocence through asset verification before officers reach your location.,1,digital_arrest,1:digital_arrest:4,curated_scam_pattern_template
Phone call transcript: Your credit limit can be increased today. Confirm CVV and OTP for verification with the bank officer.,1,financial_fraud,1:financial_fraud:4,curated_scam_pattern_template
Phone call transcript: I am calling from your school office. Your child has an emergency; transfer money for immediate treatment.,1,impersonation,1:impersonation:4,curated_scam_pattern_template
Phone call transcript: Your insurance policy is suspended. Verify KYC through this link and confirm OTP.,1,kyc_otp,1:kyc_otp:4,curated_scam_pattern_template
Phone call transcript: A courier from Thailand has drugs linked to your Aadhaar. Do not contact family while we investigate.,1,parcel_customs,1:parcel_customs:4,curated_scam_pattern_template
Phone call transcript: Complete paid rating tasks today. Deposit a small amount first to activate high-value commissions.,1,job_investment,1:job_investment:4,curated_scam_pattern_template
SMS received: This is DSP Verma from Economic Offences Wing. Your Aadhaar is linked to money laundering case PNR452178. Stay on this video call and do not inform anyone.,1,digital_arrest,1:digital_arrest:0,curated_scam_pattern_template
SMS received: Your bank account is blocked due to KYC failure. Share OTP and debit card details now to prevent permanent closure.,1,financial_fraud,1:financial_fraud:0,curated_scam_pattern_template
"SMS received: Mom, I lost my phone and I am in police custody. Send Rs 2 lakhs to this number urgently and do not call anyone.",1,impersonation,1:impersonation:0,curated_scam_pattern_template
"SMS received: Dear customer, RBI has ordered urgent KYC refresh. Provide Aadhaar OTP to keep your account active.",1,kyc_otp,1:kyc_otp:0,curated_scam_pattern_template
SMS received: Customs seized a parcel in your name containing illegal substances. Pay clearance deposit or face arrest.,1,parcel_customs,1:parcel_customs:0,curated_scam_pattern_template
"SMS received: Earn Rs 2 lakhs daily from home with guaranteed trading returns. Deposit Rs 12,000 to unlock tasks.",1,job_investment,1:job_investment:0,curated_scam_pattern_template
SMS received: An arrest warrant has been issued under IT Act Section 66. Transfer Rs 2 lakhs to the safe custody account within 45 minutes to avoid immediate arrest.,1,digital_arrest,1:digital_arrest:1,curated_scam_pattern_template
"SMS received: Congratulations, you won Rs 2 lakhs in a government lottery. Pay processing fee today to claim the prize.",1,financial_fraud,1:financial_fraud:1,curated_scam_pattern_template
SMS received: This is electricity board. Your bill is overdue and power will be disconnected in 45 minutes unless you pay this link.,1,impersonation,1:impersonation:1,curated_scam_pattern_template
SMS received: Your SIM will be deactivated in 45 minutes. Share the OTP sent by TRAI to keep services running.,1,kyc_otp,1:kyc_otp:1,curated_scam_pattern_template
SMS received: A narcotics case is registered against your shipment. Join video verification and keep the matter secret.,1,parcel_customs,1:parcel_customs:1,curated_scam_pattern_template
SMS received: Your job application is selected. Pay refundable security fee before the interview slot expires.,1,job_investment,1:job_investment:1,curated_scam_pattern_template
SMS received: Your PAN was used for illegal accounts. We are starting digital arrest verification. Disconnecting will be treated as obstruction of justice.,1,digital_arrest,1:digital_arrest:2,curated_scam_pattern_template
SMS received: Your UPI account has suspicious debits. Send Rs 1 to this verification ID and share the confirmation code.,1,financial_fraud,1:financial_fraud:2,curated_scam_pattern_template
SMS received: I am from tech support. Your computer is infected. Install remote access so I can secure your bank account.,1,impersonation,1:impersonation:2,curated_scam_pattern_template
SMS received: Your wallet is under review. Upload PAN and send OTP to release your frozen balance.,1,kyc_otp,1:kyc_otp:2,curated_scam_pattern_template
"SMS received: Your international courier has banned items. Transfer Rs 12,000 for legal clearance within 45 minutes.",1,parcel_customs,1:parcel_customs:2,curated_scam_pattern_template
SMS received: Join our crypto group for risk-free returns. Transfer funds to the analyst account for premium access.,1,job_investment,1:job_investment:2,curated_scam_pattern_template
SMS received: Cyber Cell has found your mobile number in a terror funding file. This call is confidential and your family must not be told.,1,digital_arrest,1:digital_arrest:3,curated_scam_pattern_template
"SMS received: You are approved for a zero-interest loan. Pay Rs 12,000 upfront to activate disbursal immediately.",1,financial_fraud,1:financial_fraud:3,curated_scam_pattern_template
SMS received: This is courier support. Your expensive order will be cancelled unless you verify bank details now.,1,impersonation,1:impersonation:3,curated_scam_pattern_template
SMS received: Bank security detected a login. Share OTP so we can block the fraudulent transaction.,1,kyc_otp,1:kyc_otp:3,curated_scam_pattern_template
SMS received: Airport customs found fake passports in your parcel. Cooperate with the officer or a warrant will be issued.,1,parcel_customs,1:parcel_customs:3,curated_scam_pattern_template
SMS received: You have been chosen for a government work-from-home scheme. Pay registration fee to receive equipment.,1,job_investment,1:job_investment:3,curated_scam_pattern_template
SMS received: CBI headquarters is recording this call. You must prove innocence through asset verification before officers reach your location.,1,digital_arrest,1:digital_arrest:4,curated_scam_pattern_template
SMS received: Your credit limit can be increased today. Confirm CVV and OTP for verification with the bank officer.,1,financial_fraud,1:financial_fraud:4,curated_scam_pattern_template
SMS received: I am calling from your school office. Your child has an emergency; transfer money for immediate treatment.,1,impersonation,1:impersonation:4,curated_scam_pattern_template
SMS received: Your insurance policy is suspended. Verify KYC through this link and confirm OTP.,1,kyc_otp,1:kyc_otp:4,curated_scam_pattern_template
SMS received: A courier from Thailand has drugs linked to your Aadhaar. Do not contact family while we investigate.,1,parcel_customs,1:parcel_customs:4,curated_scam_pattern_template
SMS received: Complete paid rating tasks today. Deposit a small amount first to activate high-value commissions.,1,job_investment,1:job_investment:4,curated_scam_pattern_template
WhatsApp message: This is Officer Khan from Cyber Crime Branch. Your Aadhaar is linked to money laundering case DL-9081. Stay on this video call and do not inform anyone.,1,digital_arrest,1:digital_arrest:0,curated_scam_pattern_template
WhatsApp message: Your bank account is blocked due to KYC failure. Share OTP and debit card details now to prevent permanent closure.,1,financial_fraud,1:financial_fraud:0,curated_scam_pattern_template
"WhatsApp message: Mom, I lost my phone and I am in police custody. Send Rs 75,000 to this number urgently and do not call anyone.",1,impersonation,1:impersonation:0,curated_scam_pattern_template
"WhatsApp message: Dear customer, RBI has ordered urgent KYC refresh. Provide Aadhaar OTP to keep your account active.",1,kyc_otp,1:kyc_otp:0,curated_scam_pattern_template
WhatsApp message: Customs seized a parcel in your name containing illegal substances. Pay clearance deposit or face arrest.,1,parcel_customs,1:parcel_customs:0,curated_scam_pattern_template
"WhatsApp message: Earn Rs 75,000 daily from home with guaranteed trading returns. Deposit Rs 2,500 to unlock tasks.",1,job_investment,1:job_investment:0,curated_scam_pattern_template
"WhatsApp message: An arrest warrant has been issued under FEMA compliance rule. Transfer Rs 75,000 to the safe custody account within 60 minutes to avoid immediate arrest.",1,digital_arrest,1:digital_arrest:1,curated_scam_pattern_template
"WhatsApp message: Congratulations, you won Rs 75,000 in a government lottery. Pay processing fee today to claim the prize.",1,financial_fraud,1:financial_fraud:1,curated_scam_pattern_template
WhatsApp message: This is electricity board. Your bill is overdue and power will be disconnected in 60 minutes unless you pay this link.,1,impersonation,1:impersonation:1,curated_scam_pattern_template
WhatsApp message: Your SIM will be deactivated in 60 minutes. Share the OTP sent by TRAI to keep services running.,1,kyc_otp,1:kyc_otp:1,curated_scam_pattern_template
WhatsApp message: A narcotics case is registered against your shipment. Join video verification and keep the matter secret.,1,parcel_customs,1:parcel_customs:1,curated_scam_pattern_template
WhatsApp message: Your job application is selected. Pay refundable security fee before the interview slot expires.,1,job_investment,1:job_investment:1,curated_scam_pattern_template
WhatsApp message: Your PAN was used for illegal accounts. We are starting digital arrest verification. Disconnecting will be treated as obstruction of justice.,1,digital_arrest,1:digital_arrest:2,curated_scam_pattern_template
WhatsApp message: Your UPI account has suspicious debits. Send Rs 1 to this verification ID and share the confirmation code.,1,financial_fraud,1:financial_fraud:2,curated_scam_pattern_template
WhatsApp message: I am from tech support. Your computer is infected. Install remote access so I can secure your bank account.,1,impersonation,1:impersonation:2,curated_scam_pattern_template
WhatsApp message: Your wallet is under review. Upload PAN and send OTP to release your frozen balance.,1,kyc_otp,1:kyc_otp:2,curated_scam_pattern_template
"WhatsApp message: Your international courier has banned items. Transfer Rs 2,500 for legal clearance within 60 minutes.",1,parcel_customs,1:parcel_customs:2,curated_scam_pattern_template
WhatsApp message: Join our crypto group for risk-free returns. Transfer funds to the analyst account for premium access.,1,job_investment,1:job_investment:2,curated_scam_pattern_template
WhatsApp message: Cyber Cell has found your mobile number in a terror funding file. This call is confidential and your family must not be told.,1,digital_arrest,1:digital_arrest:3,curated_scam_pattern_template
"WhatsApp message: You are approved for a zero-interest loan. Pay Rs 2,500 upfront to activate disbursal immediately.",1,financial_fraud,1:financial_fraud:3,curated_scam_pattern_template
WhatsApp message: This is courier support. Your expensive order will be cancelled unless you verify bank details now.,1,impersonation,1:impersonation:3,curated_scam_pattern_template
WhatsApp message: Bank security detected a login. Share OTP so we can block the fraudulent transaction.,1,kyc_otp,1:kyc_otp:3,curated_scam_pattern_template
WhatsApp message: Airport customs found fake passports in your parcel. Cooperate with the officer or a warrant will be issued.,1,parcel_customs,1:parcel_customs:3,curated_scam_pattern_template
WhatsApp message: You have been chosen for a government work-from-home scheme. Pay registration fee to receive equipment.,1,job_investment,1:job_investment:3,curated_scam_pattern_template
WhatsApp message: CBI headquarters is recording this call. You must prove innocence through asset verification before officers reach your location.,1,digital_arrest,1:digital_arrest:4,curated_scam_pattern_template
WhatsApp message: Your credit limit can be increased today. Confirm CVV and OTP for verification with the bank officer.,1,financial_fraud,1:financial_fraud:4,curated_scam_pattern_template
WhatsApp message: I am calling from your school office. Your child has an emergency; transfer money for immediate treatment.,1,impersonation,1:impersonation:4,curated_scam_pattern_template
WhatsApp message: Your insurance policy is suspended. Verify KYC through this link and confirm OTP.,1,kyc_otp,1:kyc_otp:4,curated_scam_pattern_template
WhatsApp message: A courier from Thailand has drugs linked to your Aadhaar. Do not contact family while we investigate.,1,parcel_customs,1:parcel_customs:4,curated_scam_pattern_template
WhatsApp message: Complete paid rating tasks today. Deposit a small amount first to activate high-value commissions.,1,job_investment,1:job_investment:4,curated_scam_pattern_template
Voice-note transcript: This is Senior Officer Iyer from Narcotics Bureau. Your Aadhaar is linked to money laundering case IR-7812. Stay on this video call and do not inform anyone.,1,digital_arrest,1:digital_arrest:0,curated_scam_pattern_template
Voice-note transcript: Your bank account is blocked due to KYC failure. Share OTP and debit card details now to prevent permanent closure.,1,financial_fraud,1:financial_fraud:0,curated_scam_pattern_template
"Voice-note transcript: Mom, I lost my phone and I am in police custody. Send Rs 1 lakh to this number urgently and do not call anyone.",1,impersonation,1:impersonation:0,curated_scam_pattern_template
"Voice-note transcript: Dear customer, RBI has ordered urgent KYC refresh. Provide Aadhaar OTP to keep your account active.",1,kyc_otp,1:kyc_otp:0,curated_scam_pattern_template
Voice-note transcript: Customs seized a parcel in your name containing illegal substances. Pay clearance deposit or face arrest.,1,parcel_customs,1:parcel_customs:0,curated_scam_pattern_template
"Voice-note transcript: Earn Rs 1 lakh daily from home with guaranteed trading returns. Deposit Rs 7,500 to unlock tasks.",1,job_investment,1:job_investment:0,curated_scam_pattern_template
Voice-note transcript: An arrest warrant has been issued under Customs Act. Transfer Rs 1 lakh to the safe custody account within 20 minutes to avoid immediate arrest.,1,digital_arrest,1:digital_arrest:1,curated_scam_pattern_template
"Voice-note transcript: Congratulations, you won Rs 1 lakh in a government lottery. Pay processing fee today to claim the prize.",1,financial_fraud,1:financial_fraud:1,curated_scam_pattern_template
Voice-note transcript: This is electricity board. Your bill is overdue and power will be disconnected in 20 minutes unless you pay this link.,1,impersonation,1:impersonation:1,curated_scam_pattern_template
Voice-note transcript: Your SIM will be deactivated in 20 minutes. Share the OTP sent by TRAI to keep services running.,1,kyc_otp,1:kyc_otp:1,curated_scam_pattern_template
Voice-note transcript: A narcotics case is registered against your shipment. Join video verification and keep the matter secret.,1,parcel_customs,1:parcel_customs:1,curated_scam_pattern_template
Voice-note transcript: Your job application is selected. Pay refundable security fee before the interview slot expires.,1,job_investment,1:job_investment:1,curated_scam_pattern_template
Voice-note transcript: Your PAN was used for illegal accounts. We are starting digital arrest verification. Disconnecting will be treated as obstruction of justice.,1,digital_arrest,1:digital_arrest:2,curated_scam_pattern_template
Voice-note transcript: Your UPI account has suspicious debits. Send Rs 1 to this verification ID and share the confirmation code.,1,financial_fraud,1:financial_fraud:2,curated_scam_pattern_template
Voice-note transcript: I am from tech support. Your computer is infected. Install remote access so I can secure your bank account.,1,impersonation,1:impersonation:2,curated_scam_pattern_template
Voice-note transcript: Your wallet is under review. Upload PAN and send OTP to release your frozen balance.,1,kyc_otp,1:kyc_otp:2,curated_scam_pattern_template
"Voice-note transcript: Your international courier has banned items. Transfer Rs 7,500 for legal clearance within 20 minutes.",1,parcel_customs,1:parcel_customs:2,curated_scam_pattern_template
Voice-note transcript: Join our crypto group for risk-free returns. Transfer funds to the analyst account for premium access.,1,job_investment,1:job_investment:2,curated_scam_pattern_template
Voice-note transcript: Cyber Cell has found your mobile number in a terror funding file. This call is confidential and your family must not be told.,1,digital_arrest,1:digital_arrest:3,curated_scam_pattern_template
"Voice-note transcript: You are approved for a zero-interest loan. Pay Rs 7,500 upfront to activate disbursal immediately.",1,financial_fraud,1:financial_fraud:3,curated_scam_pattern_template
Voice-note transcript: This is courier support. Your expensive order will be cancelled unless you verify bank details now.,1,impersonation,1:impersonation:3,curated_scam_pattern_template
Voice-note transcript: Bank security detected a login. Share OTP so we can block the fraudulent transaction.,1,kyc_otp,1:kyc_otp:3,curated_scam_pattern_template
Voice-note transcript: Airport customs found fake passports in your parcel. Cooperate with the officer or a warrant will be issued.,1,parcel_customs,1:parcel_customs:3,curated_scam_pattern_template
Voice-note transcript: You have been chosen for a government work-from-home scheme. Pay registration fee to receive equipment.,1,job_investment,1:job_investment:3,curated_scam_pattern_template
